defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost,month,week,day_of_week
31,30,structural,30-04-2024,Surface,Critical,Automated Testing,352.58,4,18,Tuesday
32,25,structural,29-03-2024,Surface,Moderate,Visual Inspection,734.12,3,13,Friday
33,14,cosmetic,15-05-2024,Internal,Minor,Visual Inspection,953.54,5,20,Wednesday
34,58,structural,19-06-2024,Surface,Critical,Manual Testing,753.89,6,25,Wednesday
35,48,functional,04-04-2024,Component,Critical,Automated Testing,955.91,4,14,Thursday
36,20,structural,04-06-2024,Surface,Critical,Automated Testing,776.91,6,23,Tuesday
37,68,cosmetic,20-01-2024,Internal,Critical,Manual Testing,607.96,1,3,Saturday
38,51,functional,08-06-2024,Internal,Moderate,Automated Testing,107.7,6,23,Saturday
39,12,functional,25-06-2024,Internal,Critical,Manual Testing,27.24,6,26,Tuesday
40,92,cosmetic,06-01-2024,Surface,Critical,Visual Inspection,370.83,1,1,Saturday
41,63,functional,11-03-2024,Component,Minor,Manual Testing,526.08,3,11,Monday
42,49,functional,18-05-2024,Surface,Critical,Automated Testing,144.38,5,20,Saturday
43,72,cosmetic,23-03-2024,Surface,Moderate,Visual Inspection,534.33,3,12,Saturday
44,24,structural,18-05-2024,Surface,Minor,Visual Inspection,456.8,5,20,Saturday
45,64,functional,27-05-2024,Surface,Minor,Automated Testing,215.01,5,22,Monday
46,36,structural,24-04-2024,Surface,Moderate,Manual Testing,824.3,4,17,Wednesday
47,79,structural,14-02-2024,Component,Critical,Manual Testing,769.28,2,7,Wednesday
48,36,structural,03-01-2024,Component,Moderate,Manual Testing,160.25,1,1,Wednesday
49,65,functional,24-02-2024,Component,Minor,Automated Testing,386.17,2,8,Saturday
50,9,functional,06-01-2024,Component,Moderate,Manual Testing,572.08,1,1,Saturday
51,10,structural,26-06-2024,Internal,Minor,Visual Inspection,433.85,6,26,Wednesday
52,7,structural,19-05-2024,Surface,Minor,Manual Testing,338.1,5,20,Sunday
53,81,functional,03-01-2024,Surface,Critical,Automated Testing,93.13,1,1,Wednesday
54,62,cosmetic,14-05-2024,Component,Moderate,Visual Inspection,308.37,5,20,Tuesday
55,29,structural,23-03-2024,Internal,Critical,Automated Testing,396.58,3,12,Saturday
56,73,structural,19-01-2024,Surface,Minor,Automated Testing,957.6,1,3,Friday
57,86,structural,06-03-2024,Internal,Moderate,Automated Testing,205.19,3,10,Wednesday
58,5,cosmetic,25-05-2024,Component,Critical,Manual Testing,300.27,5,21,Saturday
59,79,structural,10-03-2024,Internal,Critical,Automated Testing,671.22,3,10,Sunday
60,87,functional,18-02-2024,Surface,Minor,Visual Inspection,395.1,2,7,Sunday
61,60,structural,11-06-2024,Component,Critical,Visual Inspection,675.89,6,24,Tuesday
62,43,cosmetic,08-03-2024,Component,Moderate,Visual Inspection,523.02,3,10,Friday
63,52,structural,02-01-2024,Surface,Critical,Manual Testing,337.5,1,1,Tuesday
64,2,cosmetic,11-01-2024,Surface,Minor,Automated Testing,830.89,1,2,Thursday
65,22,functional,16-04-2024,Component,Critical,Visual Inspection,84.97,4,16,Tuesday
66,31,functional,24-05-2024,Internal,Minor,Visual Inspection,771.96,5,21,Friday
67,87,functional,15-03-2024,Internal,Minor,Automated Testing,46.43,3,11,Friday
68,11,cosmetic,16-04-2024,Internal,Minor,Automated Testing,31.91,4,16,Tuesday
69,33,cosmetic,19-05-2024,Component,Moderate,Automated Testing,845.8,5,20,Sunday
70,17,functional,19-02-2024,Component,Minor,Manual Testing,729.55,2,8,Monday
71,71,cosmetic,05-03-2024,Surface,Moderate,Automated Testing,187.03,3,10,Tuesday
72,35,structural,29-06-2024,Component,Moderate,Automated Testing,470.35,6,26,Saturday
73,15,functional,20-05-2024,Internal,Minor,Visual Inspection,662.35,5,21,Monday
74,43,functional,04-04-2024,Component,Critical,Visual Inspection,509.97,4,14,Thursday
75,2,functional,03-01-2024,Component,Critical,Manual Testing,352.33,1,1,Wednesday
76,36,functional,27-03-2024,Surface,Minor,Manual Testing,228.22,3,13,Wednesday
77,64,functional,06-02-2024,Component,Critical,Manual Testing,632.45,2,6,Tuesday
78,28,functional,20-06-2024,Component,Critical,Automated Testing,975.87,6,25,Thursday
79,69,structural,23-03-2024,Internal,Moderate,Visual Inspection,967.14,3,12,Saturday
80,75,structural,11-01-2024,Surface,Moderate,Automated Testing,992.69,1,2,Thursday
81,69,functional,14-03-2024,Surface,Minor,Manual Testing,827.74,3,11,Thursday
82,74,structural,02-04-2024,Component,Critical,Automated Testing,270.97,4,14,Tuesday
83,69,structural,11-04-2024,Surface,Critical,Visual Inspection,712.98,4,15,Thursday
84,11,structural,24-06-2024,Component,Critical,Manual Testing,556.05,6,26,Monday
85,92,structural,27-04-2024,Component,Minor,Manual Testing,200.11,4,17,Saturday
86,70,structural,14-01-2024,Component,Moderate,Automated Testing,660.05,1,2,Sunday
87,22,structural,21-01-2024,Component,Moderate,Manual Testing,220.96,1,3,Sunday
88,9,functional,09-02-2024,Component,Critical,Visual Inspection,776.54,2,6,Friday
89,6,functional,01-05-2024,Surface,Moderate,Visual Inspection,920.26,5,18,Wednesday
90,58,structural,17-02-2024,Internal,Moderate,Visual Inspection,492.22,2,7,Saturday
91,98,cosmetic,07-03-2024,Surface,Critical,Manual Testing,513.45,3,10,Thursday
92,93,functional,30-06-2024,Component,Moderate,Automated Testing,286.28,6,26,Sunday
93,10,functional,01-04-2024,Surface,Minor,Automated Testing,698.89,4,14,Monday
94,72,cosmetic,02-02-2024,Internal,Critical,Visual Inspection,555.25,2,5,Friday
95,36,cosmetic,16-05-2024,Component,Moderate,Manual Testing,465.92,5,20,Thursday
96,11,structural,08-03-2024,Component,Critical,Manual Testing,732.13,3,10,Friday
97,56,structural,15-03-2024,Component,Moderate,Automated Testing,582.46,3,11,Friday
98,67,cosmetic,10-03-2024,Component,Moderate,Visual Inspection,647.7,3,10,Sunday
99,67,structural,08-04-2024,Component,Critical,Visual Inspection,536.57,4,15,Monday
100,8,functional,24-04-2024,Surface,Minor,Visual Inspection,673.85,4,17,Wednesday
101,27,structural,25-01-2024,Internal,Minor,Manual Testing,871.1,1,4,Thursday
102,79,structural,25-06-2024,Internal,Critical,Visual Inspection,973.66,6,26,Tuesday
103,87,functional,31-05-2024,Internal,Critical,Visual Inspection,787.42,5,22,Friday
104,1,structural,25-06-2024,Surface,Minor,Manual Testing,338.48,6,26,Tuesday
105,49,structural,30-04-2024,Component,Critical,Visual Inspection,922.07,4,18,Tuesday
106,9,functional,14-05-2024,Surface,Moderate,Manual Testing,137.41,5,20,Tuesday
107,63,structural,28-06-2024,Surface,Critical,Automated Testing,17.89,6,26,Friday
108,97,cosmetic,26-01-2024,Surface,Moderate,Manual Testing,210.3,1,4,Friday
109,1,cosmetic,22-02-2024,Component,Critical,Automated Testing,978.5,2,8,Thursday
110,44,functional,05-03-2024,Surface,Minor,Visual Inspection,381.15,3,10,Tuesday
111,27,structural,06-05-2024,Component,Moderate,Manual Testing,302.42,5,19,Monday
112,9,cosmetic,12-01-2024,Component,Minor,Automated Testing,813.46,1,2,Friday
113,67,cosmetic,08-04-2024,Surface,Minor,Automated Testing,998.27,4,15,Monday
114,83,functional,25-01-2024,Component,Critical,Manual Testing,498.47,1,4,Thursday
115,66,functional,30-04-2024,Internal,Moderate,Visual Inspection,362.23,4,18,Tuesday
116,36,cosmetic,09-01-2024,Internal,Critical,Visual Inspection,194.79,1,2,Tuesday
117,64,cosmetic,11-01-2024,Surface,Moderate,Visual Inspection,677.65,1,2,Thursday
118,66,structural,10-04-2024,Surface,Critical,Manual Testing,310.8,4,15,Wednesday
119,99,structural,05-03-2024,Surface,Minor,Visual Inspection,717.21,3,10,Tuesday
120,80,functional,08-03-2024,Component,Critical,Manual Testing,641.58,3,10,Friday
121,86,structural,09-06-2024,Internal,Minor,Manual Testing,520.84,6,23,Sunday
122,51,structural,16-04-2024,Surface,Critical,Manual Testing,271.18,4,16,Tuesday
123,79,cosmetic,04-02-2024,Internal,Minor,Manual Testing,657.81,2,5,Sunday
124,100,functional,27-03-2024,Internal,Moderate,Manual Testing,620.66,3,13,Wednesday
125,86,cosmetic,10-03-2024,Surface,Critical,Visual Inspection,533.03,3,10,Sunday
126,29,structural,01-02-2024,Surface,Minor,Visual Inspection,21.77,2,5,Thursday
127,68,cosmetic,19-05-2024,Surface,Minor,Manual Testing,302.22,5,20,Sunday
128,92,cosmetic,02-03-2024,Internal,Moderate,Automated Testing,895.38,3,9,Saturday
129,14,cosmetic,20-06-2024,Surface,Critical,Visual Inspection,241.61,6,25,Thursday
130,72,cosmetic,06-04-2024,Internal,Critical,Automated Testing,878.46,4,14,Saturday
131,61,functional,15-05-2024,Internal,Critical,Visual Inspection,268.08,5,20,Wednesday
132,63,structural,23-04-2024,Surface,Critical,Visual Inspection,492.32,4,17,Tuesday
133,86,structural,20-03-2024,Surface,Moderate,Manual Testing,379.78,3,12,Wednesday
134,98,cosmetic,03-02-2024,Surface,Moderate,Visual Inspection,498.71,2,5,Saturday
135,61,cosmetic,15-02-2024,Internal,Moderate,Automated Testing,379.01,2,7,Thursday
136,67,functional,21-02-2024,Internal,Minor,Automated Testing,79.52,2,8,Wednesday
137,2,functional,19-04-2024,Internal,Critical,Automated Testing,602.25,4,16,Friday
138,11,structural,05-03-2024,Component,Critical,Automated Testing,575.71,3,10,Tuesday
139,58,cosmetic,24-06-2024,Surface,Critical,Visual Inspection,760.33,6,26,Monday
140,68,functional,04-04-2024,Internal,Critical,Manual Testing,955.54,4,14,Thursday
141,28,cosmetic,06-01-2024,Internal,Minor,Visual Inspection,679.88,1,1,Saturday
142,63,structural,25-03-2024,Internal,Critical,Visual Inspection,71.91,3,13,Monday
143,100,functional,27-05-2024,Internal,Moderate,Manual Testing,916.79,5,22,Monday
144,45,cosmetic,18-06-2024,Internal,Moderate,Manual Testing,558.34,6,25,Tuesday
145,25,structural,16-01-2024,Internal,Minor,Manual Testing,23.02,1,3,Tuesday
146,43,cosmetic,26-04-2024,Internal,Minor,Visual Inspection,346.23,4,17,Friday
147,45,structural,05-04-2024,Internal,Critical,Automated Testing,926.31,4,14,Friday
148,84,cosmetic,29-01-2024,Internal,Critical,Automated Testing,783.88,1,5,Monday
149,41,cosmetic,25-01-2024,Surface,Moderate,Automated Testing,747.18,1,4,Thursday
150,53,functional,22-03-2024,Surface,Critical,Manual Testing,415.84,3,12,Friday
151,61,structural,07-06-2024,Component,Minor,Visual Inspection,502.15,6,23,Friday
152,97,structural,27-01-2024,Internal,Moderate,Manual Testing,94.7,1,4,Saturday
153,63,cosmetic,09-01-2024,Surface,Minor,Manual Testing,426.04,1,2,Tuesday
154,75,cosmetic,03-05-2024,Surface,Moderate,Automated Testing,380.52,5,18,Friday
155,10,structural,24-01-2024,Component,Minor,Visual Inspection,935.64,1,4,Wednesday
156,56,functional,21-05-2024,Internal,Minor,Manual Testing,595.9,5,21,Tuesday
157,96,functional,07-05-2024,Surface,Minor,Manual Testing,788.22,5,19,Tuesday
158,96,functional,16-01-2024,Surface,Critical,Visual Inspection,465.74,1,3,Tuesday
159,77,structural,19-05-2024,Internal,Moderate,Automated Testing,661.8,5,20,Sunday
160,91,structural,17-05-2024,Surface,Moderate,Manual Testing,532.77,5,20,Friday
161,56,cosmetic,21-05-2024,Component,Minor,Visual Inspection,612.03,5,21,Tuesday
162,56,functional,09-02-2024,Component,Moderate,Manual Testing,614.11,2,6,Friday
163,12,cosmetic,30-01-2024,Surface,Minor,Manual Testing,238.39,1,5,Tuesday
164,6,structural,20-04-2024,Internal,Minor,Visual Inspection,986.51,4,16,Saturday
165,30,cosmetic,06-05-2024,Component,Critical,Automated Testing,796.76,5,19,Monday
166,34,functional,15-02-2024,Component,Minor,Visual Inspection,105.27,2,7,Thursday
167,99,cosmetic,27-01-2024,Surface,Moderate,Automated Testing,950.97,1,4,Saturday
168,14,structural,29-06-2024,Surface,Critical,Visual Inspection,517.41,6,26,Saturday
169,70,cosmetic,03-06-2024,Surface,Critical,Manual Testing,789.62,6,23,Monday
170,4,functional,16-05-2024,Internal,Moderate,Visual Inspection,942.03,5,20,Thursday
171,74,cosmetic,26-04-2024,Surface,Moderate,Manual Testing,352.05,4,17,Friday
172,25,cosmetic,02-01-2024,Component,Critical,Automated Testing,10.22,1,1,Tuesday
173,74,cosmetic,29-03-2024,Component,Moderate,Automated Testing,932.23,3,13,Friday
174,51,functional,29-05-2024,Surface,Critical,Automated Testing,715.22,5,22,Wednesday
175,6,structural,19-02-2024,Internal,Moderate,Manual Testing,999.64,2,8,Monday
176,13,structural,09-03-2024,Surface,Critical,Manual Testing,952.49,3,10,Saturday
177,34,structural,21-01-2024,Internal,Minor,Manual Testing,174.76,1,3,Sunday
178,51,functional,17-01-2024,Internal,Minor,Visual Inspection,755.15,1,3,Wednesday
179,44,structural,23-04-2024,Surface,Moderate,Automated Testing,532.6,4,17,Tuesday
180,64,structural,07-01-2024,Component,Minor,Manual Testing,854.25,1,1,Sunday
181,91,functional,29-02-2024,Internal,Minor,Automated Testing,383.83,2,9,Thursday
182,80,functional,27-01-2024,Internal,Moderate,Manual Testing,80,1,4,Saturday
183,8,structural,02-02-2024,Component,Critical,Visual Inspection,970.31,2,5,Friday
184,14,functional,09-02-2024,Internal,Moderate,Visual Inspection,517.63,2,6,Friday
185,64,structural,15-01-2024,Surface,Moderate,Automated Testing,81.33,1,3,Monday
186,21,structural,29-03-2024,Component,Critical,Manual Testing,540.92,3,13,Friday
187,13,cosmetic,27-04-2024,Internal,Critical,Visual Inspection,280.77,4,17,Saturday
188,56,structural,02-06-2024,Internal,Moderate,Automated Testing,87.28,6,22,Sunday
189,95,cosmetic,23-02-2024,Surface,Minor,Manual Testing,306.56,2,8,Friday
190,4,functional,22-06-2024,Surface,Critical,Automated Testing,86.46,6,25,Saturday
191,80,cosmetic,12-01-2024,Surface,Critical,Manual Testing,13.03,1,2,Friday
192,95,functional,21-03-2024,Component,Critical,Visual Inspection,525.07,3,12,Thursday
193,28,cosmetic,21-05-2024,Component,Critical,Manual Testing,219.71,5,21,Tuesday
194,1,structural,03-03-2024,Component,Critical,Visual Inspection,192.21,3,9,Sunday
195,17,structural,18-02-2024,Component,Moderate,Automated Testing,924.13,2,7,Sunday
196,18,structural,21-06-2024,Component,Minor,Manual Testing,65.23,6,25,Friday
197,76,cosmetic,28-05-2024,Internal,Moderate,Automated Testing,481.7,5,22,Tuesday
198,28,cosmetic,14-04-2024,Surface,Minor,Manual Testing,561.27,4,15,Sunday
199,75,structural,30-01-2024,Internal,Moderate,Visual Inspection,169.54,1,5,Tuesday
200,78,cosmetic,04-04-2024,Surface,Moderate,Visual Inspection,629.38,4,14,Thursday
201,8,cosmetic,04-01-2024,Surface,Critical,Automated Testing,783.36,1,1,Thursday
202,97,structural,25-05-2024,Surface,Moderate,Automated Testing,102.88,5,21,Saturday
203,22,structural,05-04-2024,Component,Minor,Manual Testing,269.04,4,14,Friday
204,82,functional,20-01-2024,Surface,Moderate,Visual Inspection,257.33,1,3,Saturday
205,17,structural,28-05-2024,Component,Critical,Automated Testing,824.37,5,22,Tuesday
206,59,functional,29-05-2024,Surface,Minor,Manual Testing,303.59,5,22,Wednesday
207,69,functional,22-04-2024,Internal,Critical,Automated Testing,793.3,4,17,Monday
208,22,functional,31-01-2024,Surface,Critical,Manual Testing,929.05,1,5,Wednesday
209,76,functional,20-05-2024,Internal,Moderate,Manual Testing,473.36,5,21,Monday
210,59,functional,25-01-2024,Surface,Minor,Automated Testing,478.17,1,4,Thursday
211,61,structural,12-03-2024,Component,Critical,Manual Testing,430.49,3,11,Tuesday
212,69,functional,07-05-2024,Surface,Moderate,Automated Testing,460.93,5,19,Tuesday
213,75,cosmetic,30-01-2024,Internal,Moderate,Visual Inspection,917.3,1,5,Tuesday
214,42,structural,02-01-2024,Surface,Minor,Manual Testing,520.21,1,1,Tuesday
215,38,functional,07-01-2024,Internal,Critical,Manual Testing,575.58,1,1,Sunday
216,5,structural,13-01-2024,Internal,Moderate,Visual Inspection,296.41,1,2,Saturday
217,10,cosmetic,28-05-2024,Surface,Critical,Automated Testing,622.98,5,22,Tuesday
218,21,functional,10-05-2024,Internal,Critical,Visual Inspection,484.08,5,19,Friday
219,92,cosmetic,26-04-2024,Component,Critical,Manual Testing,479.31,4,17,Friday
220,29,functional,05-04-2024,Surface,Minor,Manual Testing,624.22,4,14,Friday
221,49,functional,11-06-2024,Component,Critical,Manual Testing,777.18,6,24,Tuesday
222,28,functional,12-02-2024,Component,Critical,Automated Testing,842.93,2,7,Monday
223,87,cosmetic,26-01-2024,Surface,Critical,Manual Testing,974.99,1,4,Friday
224,51,functional,24-04-2024,Component,Critical,Manual Testing,989.81,4,17,Wednesday
225,64,structural,23-04-2024,Component,Moderate,Visual Inspection,484.04,4,17,Tuesday
226,77,cosmetic,04-06-2024,Internal,Minor,Automated Testing,38.39,6,23,Tuesday
227,23,functional,23-06-2024,Surface,Minor,Visual Inspection,334.53,6,25,Sunday
228,89,functional,04-02-2024,Component,Moderate,Manual Testing,580.74,2,5,Sunday
229,30,functional,24-03-2024,Surface,Critical,Manual Testing,638.28,3,12,Sunday
230,88,structural,28-01-2024,Component,Minor,Manual Testing,727.86,1,4,Sunday
231,47,structural,11-03-2024,Internal,Moderate,Manual Testing,117.74,3,11,Monday
232,74,functional,25-05-2024,Component,Critical,Automated Testing,891.94,5,21,Saturday
233,53,structural,17-03-2024,Surface,Minor,Visual Inspection,440.58,3,11,Sunday
234,39,structural,17-02-2024,Internal,Minor,Automated Testing,310.96,2,7,Saturday
235,4,cosmetic,28-01-2024,Internal,Critical,Manual Testing,430.74,1,4,Sunday
236,29,cosmetic,05-05-2024,Surface,Minor,Automated Testing,47.99,5,18,Sunday
237,31,cosmetic,30-06-2024,Component,Moderate,Visual Inspection,728.13,6,26,Sunday
238,75,structural,06-02-2024,Component,Critical,Visual Inspection,890.35,2,6,Tuesday
239,88,functional,12-03-2024,Surface,Minor,Manual Testing,356.55,3,11,Tuesday
240,14,structural,04-05-2024,Internal,Moderate,Visual Inspection,271.51,5,18,Saturday
241,80,structural,19-03-2024,Surface,Minor,Manual Testing,288.31,3,12,Tuesday
242,13,functional,08-02-2024,Component,Critical,Automated Testing,663.49,2,6,Thursday
243,5,functional,18-06-2024,Internal,Moderate,Manual Testing,711.77,6,25,Tuesday
244,67,structural,04-06-2024,Surface,Moderate,Visual Inspection,822.12,6,23,Tuesday
245,35,cosmetic,27-05-2024,Component,Critical,Visual Inspection,889.52,5,22,Monday
246,81,structural,30-03-2024,Surface,Minor,Automated Testing,471.55,3,13,Saturday
247,24,cosmetic,22-04-2024,Internal,Critical,Automated Testing,136.69,4,17,Monday
248,65,structural,27-03-2024,Component,Minor,Automated Testing,148.61,3,13,Wednesday
249,13,structural,16-05-2024,Surface,Moderate,Manual Testing,768.39,5,20,Thursday
250,65,cosmetic,07-06-2024,Component,Moderate,Manual Testing,545.52,6,23,Friday
251,33,structural,29-01-2024,Component,Moderate,Automated Testing,978.58,1,5,Monday
252,92,cosmetic,16-05-2024,Internal,Critical,Visual Inspection,62.59,5,20,Thursday
253,25,functional,01-05-2024,Component,Minor,Automated Testing,146.53,5,18,Wednesday
254,33,functional,02-05-2024,Surface,Minor,Automated Testing,168.3,5,18,Thursday
255,63,cosmetic,02-01-2024,Internal,Critical,Manual Testing,225.2,1,1,Tuesday
256,23,structural,18-06-2024,Surface,Minor,Manual Testing,875.37,6,25,Tuesday
257,47,structural,03-06-2024,Surface,Minor,Manual Testing,772.77,6,23,Monday
258,78,structural,07-05-2024,Component,Minor,Automated Testing,617.12,5,19,Tuesday
259,74,functional,20-03-2024,Surface,Moderate,Manual Testing,900.61,3,12,Wednesday
260,70,structural,03-03-2024,Surface,Minor,Manual Testing,159.25,3,9,Sunday
261,59,functional,02-03-2024,Internal,Minor,Manual Testing,16.62,3,9,Saturday
262,77,functional,25-02-2024,Surface,Minor,Automated Testing,906.96,2,8,Sunday
263,96,functional,03-05-2024,Internal,Minor,Manual Testing,446.61,5,18,Friday
264,39,structural,29-01-2024,Surface,Minor,Manual Testing,406.06,1,5,Monday
265,54,structural,08-06-2024,Component,Minor,Automated Testing,286.25,6,23,Saturday
266,74,structural,22-06-2024,Surface,Critical,Manual Testing,319.6,6,25,Saturday
267,57,functional,04-06-2024,Surface,Moderate,Manual Testing,798.16,6,23,Tuesday
268,48,functional,05-01-2024,Component,Critical,Manual Testing,674.23,1,1,Friday
269,99,cosmetic,09-03-2024,Component,Minor,Manual Testing,940.48,3,10,Saturday
270,71,functional,05-04-2024,Internal,Critical,Visual Inspection,42.63,4,14,Friday
271,37,cosmetic,26-06-2024,Surface,Critical,Automated Testing,433.02,6,26,Wednesday
272,65,structural,09-04-2024,Internal,Minor,Manual Testing,606.91,4,15,Tuesday
273,94,structural,15-06-2024,Surface,Moderate,Automated Testing,129.41,6,24,Saturday
274,83,cosmetic,05-02-2024,Surface,Critical,Manual Testing,444.1,2,6,Monday
275,71,functional,29-05-2024,Surface,Moderate,Manual Testing,634.26,5,22,Wednesday
276,46,cosmetic,13-01-2024,Surface,Moderate,Manual Testing,672.89,1,2,Saturday
277,56,functional,22-05-2024,Internal,Minor,Visual Inspection,557.67,5,21,Wednesday
278,34,functional,22-06-2024,Internal,Minor,Manual Testing,272.53,6,25,Saturday
279,19,structural,17-02-2024,Internal,Minor,Visual Inspection,503.24,2,7,Saturday
280,27,functional,23-04-2024,Surface,Critical,Visual Inspection,611.37,4,17,Tuesday
281,69,cosmetic,24-01-2024,Surface,Minor,Visual Inspection,501.54,1,4,Wednesday
282,90,structural,20-05-2024,Surface,Minor,Manual Testing,290.23,5,21,Monday
283,63,cosmetic,30-01-2024,Internal,Moderate,Manual Testing,195.84,1,5,Tuesday
284,86,structural,09-04-2024,Internal,Moderate,Visual Inspection,88.05,4,15,Tuesday
285,82,structural,17-05-2024,Surface,Critical,Manual Testing,97.99,5,20,Friday
286,65,structural,19-06-2024,Internal,Critical,Visual Inspection,349.24,6,25,Wednesday
287,14,structural,31-01-2024,Internal,Critical,Manual Testing,421.51,1,5,Wednesday
288,48,structural,26-05-2024,Internal,Critical,Manual Testing,422.77,5,21,Sunday
289,61,structural,07-02-2024,Internal,Minor,Automated Testing,925.03,2,6,Wednesday
290,35,structural,27-02-2024,Internal,Minor,Automated Testing,319.58,2,9,Tuesday
291,67,functional,22-04-2024,Surface,Moderate,Automated Testing,556.42,4,17,Monday
292,16,structural,04-02-2024,Surface,Minor,Automated Testing,818.54,2,5,Sunday
293,44,structural,02-01-2024,Internal,Moderate,Automated Testing,320.62,1,1,Tuesday
294,80,cosmetic,31-03-2024,Internal,Moderate,Manual Testing,178.82,3,13,Sunday
295,83,structural,29-02-2024,Surface,Critical,Manual Testing,237.65,2,9,Thursday
296,93,structural,14-03-2024,Component,Moderate,Manual Testing,658.16,3,11,Thursday
297,43,structural,23-01-2024,Surface,Minor,Visual Inspection,326.58,1,4,Tuesday
298,87,cosmetic,14-02-2024,Surface,Minor,Manual Testing,301.61,2,7,Wednesday
299,56,cosmetic,26-05-2024,Surface,Minor,Visual Inspection,357.56,5,21,Sunday
300,3,functional,26-04-2024,Internal,Critical,Manual Testing,358.21,4,17,Friday
301,22,structural,03-05-2024,Surface,Moderate,Manual Testing,89.91,5,18,Friday
302,85,cosmetic,06-05-2024,Internal,Minor,Automated Testing,18.42,5,19,Monday
303,80,functional,25-04-2024,Component,Moderate,Visual Inspection,294.31,4,17,Thursday
304,17,functional,24-04-2024,Internal,Minor,Visual Inspection,865.96,4,17,Wednesday
305,35,cosmetic,12-06-2024,Component,Minor,Visual Inspection,578.28,6,24,Wednesday
306,39,structural,13-02-2024,Surface,Critical,Visual Inspection,495.87,2,7,Tuesday
307,30,functional,19-06-2024,Component,Minor,Visual Inspection,728.39,6,25,Wednesday
308,47,cosmetic,08-01-2024,Component,Minor,Manual Testing,949.72,1,2,Monday
309,24,structural,23-03-2024,Component,Moderate,Manual Testing,56.12,3,12,Saturday
310,76,structural,26-05-2024,Component,Moderate,Automated Testing,56.35,5,21,Sunday
311,38,structural,08-04-2024,Internal,Minor,Manual Testing,651.35,4,15,Monday
312,47,cosmetic,23-02-2024,Component,Minor,Manual Testing,471.27,2,8,Friday
313,82,cosmetic,29-05-2024,Surface,Moderate,Visual Inspection,732.6,5,22,Wednesday
314,36,cosmetic,19-02-2024,Component,Minor,Automated Testing,865.3,2,8,Monday
315,40,functional,15-01-2024,Internal,Minor,Automated Testing,49.2,1,3,Monday
316,28,cosmetic,09-06-2024,Surface,Critical,Manual Testing,567.72,6,23,Sunday
317,31,cosmetic,09-01-2024,Surface,Moderate,Visual Inspection,490.53,1,2,Tuesday
318,34,functional,03-03-2024,Component,Minor,Manual Testing,11.38,3,9,Sunday
319,56,functional,23-02-2024,Component,Moderate,Visual Inspection,409.72,2,8,Friday
320,45,functional,05-01-2024,Component,Minor,Visual Inspection,515.07,1,1,Friday
321,32,structural,06-06-2024,Component,Moderate,Visual Inspection,42.44,6,23,Thursday
